Begin,End,Activity,Case,Duration
2023-03-06 14:01:10,2023-03-06 14:08:50,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:07:40
2023-03-06 14:11:51,2023-03-06 14:11:54,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-06 14:17:00,2023-03-06 14:17:54,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:54
2023-03-06 14:18:13,2023-03-06 14:18:16,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-06 14:29:47,2023-03-06 14:31:18,Communicating about events,BPM conference 2023,0 days 00:01:31
2023-03-06 14:32:09,2023-03-06 14:32:51,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:42
2023-03-06 14:35:21,2023-03-06 14:46:47,Organizing practical aspects for the group,BPM&A group,0 days 00:11:26
2023-03-06 14:49:11,2023-03-06 14:49:48,Organizing practical aspects for the group,BPM&A group,0 days 00:00:37
2023-03-06 14:49:50,2023-03-06 14:50:15,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:25
2023-03-06 14:51:45,2023-03-06 14:53:12,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:01:27
2023-03-06 15:20:59,2023-03-06 15:24:56,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:03:57
2023-03-06 15:24:56,2023-03-06 15:26:17,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:01:21
2023-03-06 15:26:54,2023-03-06 15:27:57,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:01:03
2023-03-06 15:34:34,2023-03-06 15:35:07,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:33
2023-03-06 15:36:25,2023-03-06 15:36:43,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:18
2023-03-06 15:36:46,2023-03-06 15:37:46,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:01:00
2023-03-06 15:39:26,2023-03-06 15:42:20,Communicating about events,BPM conference 2023,0 days 00:02:54
2023-03-06 15:42:41,2023-03-06 15:56:13,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:13:32
2023-03-06 15:57:13,2023-03-06 15:57:16,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-06 15:57:19,2023-03-06 16:01:50,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:04:31
2023-03-06 16:04:51,2023-03-06 16:05:57,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:01:06
2023-03-06 16:20:08,2023-03-06 16:20:14,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:06
2023-03-06 16:20:35,2023-03-06 16:30:55,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:10:20
2023-03-06 16:32:49,2023-03-06 16:32:58,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:09
2023-03-06 16:40:44,2023-03-06 16:40:47,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-06 16:40:51,2023-03-06 16:41:03,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:12
2023-03-06 16:42:42,2023-03-06 16:42:45,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:03
2023-03-06 16:43:09,2023-03-06 16:43:21,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:12
2023-03-06 16:44:00,2023-03-06 16:44:03,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name39***,0 days 00:00:03
2023-03-06 16:44:06,2023-03-06 16:44:09,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-07 08:53:16,2023-03-07 08:54:04,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:48
2023-03-07 09:24:48,2023-03-07 09:25:03,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:15
2023-03-07 09:25:03,2023-03-07 09:29:16,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:04:13
2023-03-07 09:29:16,2023-03-07 09:32:25,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:03:09
2023-03-07 09:36:05,2023-03-07 09:36:32,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:27
2023-03-07 09:36:35,2023-03-07 09:36:59,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:24
2023-03-07 09:36:59,2023-03-07 09:41:39,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:04:40
2023-03-07 09:42:03,2023-03-07 09:42:06,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-07 09:45:45,2023-03-07 09:48:16,Conducting research,Active Window Tracking,0 days 00:02:31
2023-03-07 09:49:16,2023-03-07 09:50:13,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:57
2023-03-07 09:50:37,2023-03-07 09:50:40,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-07 09:51:04,2023-03-07 09:51:07,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-07 09:51:22,2023-03-07 09:51:34,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:12
2023-03-07 09:54:20,2023-03-07 09:54:35,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:15
2023-03-07 09:58:29,2023-03-07 09:58:32,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:03
2023-03-07 09:59:30,2023-03-07 10:00:06,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:36
"2023-03-07 10:00:24,2023-03-07 10:00:33,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:00:09"
"2023-03-07 10:00:36,2023-03-07 10:00:48,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:00:12"
2023-03-07 10:00:48,2023-03-07 10:02:24,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:36
2023-03-07 10:03:15,2023-03-07 10:04:21,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:06
2023-03-07 10:05:54,2023-03-07 10:07:03,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:09
2023-03-07 10:12:42,2023-03-07 10:14:30,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:48
2023-03-07 10:18:39,2023-03-07 10:21:18,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:02:39
2023-03-07 10:21:57,2023-03-07 10:22:09,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:12
2023-03-07 10:22:12,2023-03-07 10:23:24,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:12
2023-03-07 10:24:48,2023-03-07 10:28:27,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:03:39
2023-03-07 10:28:54,2023-03-07 10:32:33,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:03:39
2023-03-07 10:34:12,2023-03-07 10:44:30,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:10:18
2023-03-07 10:46:15,2023-03-07 10:52:00,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:05:45
2023-03-07 10:52:09,2023-03-07 10:53:03,Proposing events,Tutorial on task support for PM,0 days 00:00:54
2023-03-07 11:00:24,2023-03-07 11:01:27,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:01:03
"2023-03-07 11:01:30,2023-03-07 11:04:36,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:03:06"
"2023-03-07 11:05:40,2023-03-07 11:07:30,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:50"
"2023-03-07 11:07:36,2023-03-07 11:08:43,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:07"
"2023-03-07 11:09:34,2023-03-07 11:13:22,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:03:48"
"2023-03-07 11:13:25,2023-03-07 11:15:52,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:02:27"
"2023-03-07 11:17:31,2023-03-07 11:18:40,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:09"
"2023-03-07 11:19:43,2023-03-07 11:21:04,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:21"
"2023-03-07 11:21:46,2023-03-07 11:22:55,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:09"
"2023-03-07 11:25:25,2023-03-07 11:26:34,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:09"
"2023-03-07 11:29:25,2023-03-07 11:38:16,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:08:51"
"2023-03-07 11:41:10,2023-03-07 11:41:25,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:00:15"
2023-03-07 11:48:05,2023-03-07 11:48:29,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:24
2023-03-07 11:49:08,2023-03-07 11:49:11,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:03
2023-03-07 11:49:17,2023-03-07 11:49:29,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name46***,0 days 00:00:12
2023-03-07 11:49:50,2023-03-07 11:51:23,Conducting research,Active Window Tracking,0 days 00:01:33
2023-03-07 11:51:26,2023-03-07 11:52:30,Conducting research,Active Window Tracking,0 days 00:01:04
2023-03-07 11:53:48,2023-03-07 11:54:03,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:15
"2023-03-07 11:57:31,2023-03-07 11:57:34,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:00:03"
"2023-03-07 11:58:25,2023-03-07 11:58:28,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:00:03"
"2023-03-07 12:01:34,2023-03-07 12:03:26,""Discussing the structure, provision and progress of the assignment with students"",***name31***,0 days 00:01:52"
