Begin;End;Activity;Case;Case type;Duration
7-3-2023 09:36;7-3-2023 09:41;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:04:40
7-3-2023 09:42;7-3-2023 09:42;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
7-3-2023 09:45;7-3-2023 09:48;Conducting research;Active Window Tracking;Research project;0 days 00:02:31
7-3-2023 09:49;7-3-2023 09:50;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:57
7-3-2023 09:50;7-3-2023 09:50;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
7-3-2023 09:51;7-3-2023 09:51;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:03
7-3-2023 09:51;7-3-2023 09:51;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:12
7-3-2023 09:54;7-3-2023 09:54;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:15
7-3-2023 09:58;7-3-2023 09:58;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:03
7-3-2023 09:59;7-3-2023 10:00;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:36
7-3-2023 10:00;7-3-2023 10:00;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:09
7-3-2023 10:00;7-3-2023 10:00;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:12
7-3-2023 10:00;7-3-2023 10:02;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:36
7-3-2023 10:03;7-3-2023 10:04;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:06
7-3-2023 10:05;7-3-2023 10:07;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:09
7-3-2023 10:12;7-3-2023 10:14;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:48
7-3-2023 10:18;7-3-2023 10:21;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:02:39
7-3-2023 10:21;7-3-2023 10:22;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:12
7-3-2023 10:22;7-3-2023 10:23;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:12
7-3-2023 10:24;7-3-2023 10:28;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:03:39
7-3-2023 10:28;7-3-2023 10:32;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:03:39
7-3-2023 10:34;7-3-2023 10:44;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:10:18
7-3-2023 10:46;7-3-2023 10:52;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:05:45
7-3-2023 10:52;7-3-2023 10:53;Proposing events;Tutorial on task support for PM;Presentation;0 days 00:00:54
7-3-2023 11:00;7-3-2023 11:01;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:03
7-3-2023 11:01;7-3-2023 11:04;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:03:06
7-3-2023 11:05;7-3-2023 11:07;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:50
7-3-2023 11:07;7-3-2023 11:08;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:07
7-3-2023 11:09;7-3-2023 11:13;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:03:48
7-3-2023 11:13;7-3-2023 11:15;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:02:27
7-3-2023 11:17;7-3-2023 11:18;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:09
7-3-2023 11:19;7-3-2023 11:21;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:21
7-3-2023 11:21;7-3-2023 11:22;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:09
7-3-2023 11:25;7-3-2023 11:26;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:09
7-3-2023 11:29;7-3-2023 11:38;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:08:51
7-3-2023 11:41;7-3-2023 11:41;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:15
7-3-2023 11:48;7-3-2023 11:48;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:24
7-3-2023 11:49;7-3-2023 11:49;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
7-3-2023 11:49;7-3-2023 11:49;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:12
7-3-2023 11:49;7-3-2023 11:51;Conducting research;Active Window Tracking;Research project;0 days 00:01:33
7-3-2023 11:51;7-3-2023 11:52;Conducting research;Active Window Tracking;Research project;0 days 00:01:04
7-3-2023 11:53;7-3-2023 11:54;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:15
7-3-2023 11:57;7-3-2023 11:57;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:03
7-3-2023 11:58;7-3-2023 11:58;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:03
7-3-2023 12:01;7-3-2023 12:03;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:52
7-3-2023 12:04;7-3-2023 12:06;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:48
7-3-2023 12:10;7-3-2023 12:10;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:03
7-3-2023 12:10;7-3-2023 12:10;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:03
7-3-2023 12:10;7-3-2023 12:10;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:09
7-3-2023 12:15;7-3-2023 12:27;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:11:41
7-3-2023 12:51;7-3-2023 12:57;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:05:58
7-3-2023 12:59;7-3-2023 13:01;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:02:06
7-3-2023 13:02;7-3-2023 13:14;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:11:45
7-3-2023 13:14;7-3-2023 13:16;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:02:45
7-3-2023 13:18;7-3-2023 13:31;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:12:56
7-3-2023 13:31;7-3-2023 13:32;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:45
7-3-2023 13:32;7-3-2023 13:32;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:00:03
7-3-2023 13:32;7-3-2023 13:33;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:00:39
7-3-2023 13:33;7-3-2023 13:35;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:01:21
7-3-2023 13:35;7-3-2023 13:37;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:02:04
7-3-2023 13:41;7-3-2023 13:42;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:00:30
7-3-2023 13:42;7-3-2023 13:44;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:01:54
7-3-2023 13:48;7-3-2023 13:52;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:04:31
7-3-2023 13:52;7-3-2023 13:57;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:04:39
7-3-2023 13:58;7-3-2023 13:59;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:01:22
7-3-2023 13:59;7-3-2023 14:00;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:00:18
7-3-2023 14:01;7-3-2023 14:10;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:08:38
7-3-2023 14:11;7-3-2023 14:12;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:00:18
7-3-2023 14:12;7-3-2023 14:12;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:00:36
7-3-2023 14:14;7-3-2023 14:21;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:07:17
7-3-2023 14:21;7-3-2023 14:28;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:06:22
7-3-2023 14:28;7-3-2023 14:29;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:01:21
7-3-2023 14:29;7-3-2023 14:37;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:08:13
7-3-2023 14:39;7-3-2023 14:44;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:05:25
7-3-2023 14:59;7-3-2023 15:24;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:25:16
7-3-2023 15:24;7-3-2023 15:26;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:02:06
7-3-2023 15:26;7-3-2023 15:27;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:03
7-3-2023 15:27;7-3-2023 15:28;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:21
7-3-2023 15:31;7-3-2023 15:31;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:03
7-3-2023 15:31;7-3-2023 15:33;Organizing national and international travelling;RCIS conference 2023;Academic conference;0 days 00:01:57
7-3-2023 15:33;7-3-2023 15:36;Organizing national and international travelling;RCIS conference 2023;Academic conference;0 days 00:02:37
7-3-2023 15:36;7-3-2023 15:36;Organizing national and international travelling;RCIS conference 2023;Academic conference;0 days 00:00:03
7-3-2023 15:36;7-3-2023 15:45;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:08:37
7-3-2023 15:45;7-3-2023 15:52;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:06:50
7-3-2023 15:55;7-3-2023 15:59;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:04:10
7-3-2023 16:00;7-3-2023 16:01;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:33
7-3-2023 16:01;7-3-2023 16:02;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:36
7-3-2023 16:03;7-3-2023 16:04;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:57
7-3-2023 16:04;7-3-2023 16:05;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:39
7-3-2023 16:05;7-3-2023 16:06;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:06
7-3-2023 16:06;7-3-2023 16:07;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:15
7-3-2023 16:08;7-3-2023 16:08;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:06
7-3-2023 16:08;7-3-2023 16:08;Participating in group meetings;ICS department;Organizational unit;0 days 00:00:06
7-3-2023 16:09;7-3-2023 16:09;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:27
7-3-2023 16:11;7-3-2023 16:11;Reviewing journal and conference papers;***doc7***;Reviewed paper;0 days 00:00:03
7-3-2023 16:11;7-3-2023 16:12;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:27
7-3-2023 16:12;7-3-2023 16:15;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:02:36
7-3-2023 16:15;7-3-2023 16:17;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:39
7-3-2023 16:17;7-3-2023 16:17;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:12
7-3-2023 16:18;7-3-2023 16:20;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:45
7-3-2023 16:21;7-3-2023 16:24;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:03:21
7-3-2023 16:25;7-3-2023 16:25;Participating in group meetings;ICS department;Organizational unit;0 days 00:00:09
7-3-2023 16:25;7-3-2023 16:26;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:12
7-3-2023 16:27;7-3-2023 16:27;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:06
7-3-2023 16:27;7-3-2023 16:29;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:12
7-3-2023 16:29;7-3-2023 16:31;Participating in group meetings;ICS department;Organizational unit;0 days 00:01:09
7-3-2023 16:31;7-3-2023 16:31;Participating in group meetings;ICS department;Organizational unit;0 days 00:00:21
7-3-2023 16:31;7-3-2023 16:32;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:03
7-3-2023 16:33;7-3-2023 16:33;Participating in group meetings;ICS department;Organizational unit;0 days 00:00:06
7-3-2023 16:33;7-3-2023 16:34;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:28
7-3-2023 16:34;7-3-2023 16:35;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:33
7-3-2023 16:36;7-3-2023 16:36;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:42
7-3-2023 16:41;7-3-2023 16:46;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:05:04
7-3-2023 16:46;7-3-2023 16:46;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:03
7-3-2023 16:48;7-3-2023 16:57;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:09:02
7-3-2023 16:58;7-3-2023 17:21;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:23:22
7-3-2023 17:21;7-3-2023 17:22;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:00:51
7-3-2023 17:28;7-3-2023 17:28;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:06
7-3-2023 17:28;7-3-2023 17:28;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:06
7-3-2023 17:28;7-3-2023 17:30;Drafting conference papers and giving lectures at conferences;BPM paper combination SWORD and motivational model;Research project;0 days 00:01:12
7-3-2023 17:30;7-3-2023 17:30;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:31
7-3-2023 17:30;7-3-2023 17:34;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:04:18
7-3-2023 17:34;7-3-2023 17:40;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:05:28
7-3-2023 17:40;7-3-2023 17:40;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:03
7-3-2023 17:40;7-3-2023 17:50;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:09:59
7-3-2023 17:51;7-3-2023 17:53;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:02:30
7-3-2023 17:54;7-3-2023 17:58;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:04:00
7-3-2023 17:58;7-3-2023 18:02;Discussing the structure, provision and progress of the assignment with students;***name46***;Master student;0 days 00:04:04
8-3-2023 09:17;8-3-2023 09:38;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:21:12
8-3-2023 09:45;8-3-2023 09:47;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:18
8-3-2023 09:56;8-3-2023 09:56;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:09
8-3-2023 09:56;8-3-2023 09:58;Discussing possible assignments with students;***name56***;Master student;0 days 00:01:51
8-3-2023 09:58;8-3-2023 10:01;Discussing possible assignments with students;***name56***;Master student;0 days 00:02:30
8-3-2023 10:24;8-3-2023 10:24;Discussing possible assignments with students;***name56***;Master student;0 days 00:00:12
8-3-2023 10:37;8-3-2023 11:29;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:52:09
8-3-2023 11:29;8-3-2023 11:30;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:01:12
8-3-2023 11:37;8-3-2023 11:42;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:04:25
8-3-2023 11:43;8-3-2023 11:47;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:04:22
8-3-2023 11:49;8-3-2023 12:03;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:14:54
8-3-2023 12:04;8-3-2023 12:10;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:05:46
8-3-2023 12:31;8-3-2023 12:33;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:01:18
8-3-2023 13:06;8-3-2023 13:09;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:37
8-3-2023 13:10;8-3-2023 13:12;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:03
8-3-2023 13:13;8-3-2023 13:26;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:13:18
8-3-2023 13:26;8-3-2023 13:29;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:03:09
8-3-2023 13:29;8-3-2023 13:37;Periodically discussing research results with fellow researchers and supervisor or co-supervisor;Active Window Tracking;Research project;0 days 00:07:23
8-3-2023 13:51;8-3-2023 13:55;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:04:34
8-3-2023 13:57;8-3-2023 13:58;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:01:12
8-3-2023 13:59;8-3-2023 14:00;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:57
8-3-2023 14:01;8-3-2023 14:03;Periodically discussing research results with fellow researchers and supervisor or co-supervisor;Active Window Tracking;Research project;0 days 00:02:27
8-3-2023 14:03;8-3-2023 14:04;Periodically discussing research results with fellow researchers and supervisor or co-supervisor;Active Window Tracking;Research project;0 days 00:00:36
8-3-2023 14:05;8-3-2023 14:05;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:03
8-3-2023 14:08;8-3-2023 14:14;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:05:37
8-3-2023 14:14;8-3-2023 14:16;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:01:30
8-3-2023 14:16;8-3-2023 14:16;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:03
8-3-2023 14:18;8-3-2023 14:18;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:06
8-3-2023 14:19;8-3-2023 14:19;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:12
8-3-2023 14:19;8-3-2023 14:19;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:06
8-3-2023 14:19;8-3-2023 14:26;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:06:46
8-3-2023 14:26;8-3-2023 14:30;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:04:04
8-3-2023 14:30;8-3-2023 14:31;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:21
8-3-2023 14:31;8-3-2023 14:31;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:03
8-3-2023 14:33;8-3-2023 14:36;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:02:37
8-3-2023 14:36;8-3-2023 14:36;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:42
8-3-2023 14:42;8-3-2023 14:45;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:03:03
8-3-2023 14:45;8-3-2023 14:51;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:05:43
8-3-2023 14:51;8-3-2023 14:53;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:01:43
8-3-2023 14:54;8-3-2023 14:54;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:00:03
8-3-2023 14:54;8-3-2023 14:56;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name10***;Master student;0 days 00:02:03
8-3-2023 14:57;8-3-2023 14:59;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:01:55
8-3-2023 15:01;8-3-2023 15:04;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:02:36
8-3-2023 15:05;8-3-2023 15:05;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:06
8-3-2023 16:12;8-3-2023 16:13;Organizing practical aspects for the group;AI Lab for Public Services;Organizational unit;0 days 00:00:48
8-3-2023 16:17;8-3-2023 16:19;Organizing practical aspects for the group;AI Lab for Public Services;Organizational unit;0 days 00:01:27
8-3-2023 17:01;8-3-2023 17:03;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:07
8-3-2023 18:13;8-3-2023 18:15;Communicating about events;BPM conference 2023;Academic conference;0 days 00:01:12
8-3-2023 18:17;8-3-2023 18:17;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:03
8-3-2023 18:17;8-3-2023 18:24;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:06:28
8-3-2023 18:24;8-3-2023 18:26;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:01:54
8-3-2023 18:42;8-3-2023 18:42;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:03
8-3-2023 18:42;8-3-2023 18:42;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:03
9-3-2023 09:35;9-3-2023 09:39;Communicating about events;BPM conference 2023;Academic conference;0 days 00:04:31
9-3-2023 09:40;9-3-2023 09:45;Communicating about events;BPM conference 2023;Academic conference;0 days 00:05:04
9-3-2023 09:46;9-3-2023 09:46;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:12
9-3-2023 09:53;9-3-2023 09:58;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:04:25
9-3-2023 10:34;9-3-2023 10:35;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:36
9-3-2023 10:39;9-3-2023 10:40;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:18
9-3-2023 10:40;9-3-2023 10:40;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:24
9-3-2023 10:40;9-3-2023 10:47;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:06:30
9-3-2023 10:47;9-3-2023 10:47;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:03
9-3-2023 11:19;9-3-2023 11:20;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:12
9-3-2023 11:23;9-3-2023 11:25;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:02:10
9-3-2023 11:25;9-3-2023 11:30;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:04:58
9-3-2023 11:31;9-3-2023 11:32;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:01:00
9-3-2023 11:32;9-3-2023 11:34;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:01:18
9-3-2023 11:35;9-3-2023 11:36;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:01:07
9-3-2023 11:42;9-3-2023 11:43;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:09
9-3-2023 11:54;9-3-2023 11:55;Encouraging and giving lectures;Guest lecture NWI bachelor;Presentation;0 days 00:00:24
9-3-2023 12:44;9-3-2023 12:46;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:01:54
9-3-2023 12:51;9-3-2023 12:52;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:27
9-3-2023 13:00;9-3-2023 13:00;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:06
9-3-2023 13:03;9-3-2023 13:03;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:42
9-3-2023 13:07;9-3-2023 13:12;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:05:25
9-3-2023 13:15;9-3-2023 13:18;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:28
9-3-2023 13:18;9-3-2023 13:22;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:03:25
9-3-2023 13:25;9-3-2023 13:26;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:01:00
9-3-2023 13:27;9-3-2023 13:30;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:51
9-3-2023 13:30;9-3-2023 13:34;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:03:52
9-3-2023 13:39;9-3-2023 13:39;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:09
9-3-2023 14:47;9-3-2023 14:50;Communicating to students about the teaching material and assessment;BPM course;University course;0 days 00:02:40
9-3-2023 15:12;9-3-2023 15:13;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:18
9-3-2023 15:13;9-3-2023 15:13;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:06
9-3-2023 15:13;9-3-2023 15:13;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:00:07
9-3-2023 15:13;9-3-2023 15:14;Communicating to students about the teaching material and assessment;BPM course;University course;0 days 00:00:36
9-3-2023 15:15;9-3-2023 15:17;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:02:06
9-3-2023 15:18;9-3-2023 15:19;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:01:18
9-3-2023 15:22;9-3-2023 15:26;Preparing and providing teaching sessions for students, providing prospective students with information;BPM course;University course;0 days 00:03:27
