Begin;End;Activity;Case;Case type;Duration
24-3-2023 13:36;24-3-2023 13:38;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:45
24-3-2023 13:39;24-3-2023 13:39;Discussing the structure, provision and progress of the assignment with students;***name69***;Master student;0 days 00:00:03
24-3-2023 13:39;24-3-2023 13:40;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:18
24-3-2023 13:41;24-3-2023 13:56;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:15:06
24-3-2023 13:59;24-3-2023 14:06;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:07:10
24-3-2023 14:07;24-3-2023 14:07;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:12
24-3-2023 14:11;24-3-2023 14:16;Conducting research;Active Window Tracking;Research project;0 days 00:04:43
24-3-2023 14:16;24-3-2023 14:16;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:06
24-3-2023 14:18;24-3-2023 14:44;Conducting research;Active Window Tracking;Research project;0 days 00:26:26
24-3-2023 14:44;24-3-2023 14:45;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:21
24-3-2023 14:59;24-3-2023 15:04;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:05:09
24-3-2023 15:05;24-3-2023 15:06;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:27
24-3-2023 15:07;24-3-2023 15:08;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:06
24-3-2023 15:15;24-3-2023 15:17;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:02:18
24-3-2023 15:18;24-3-2023 15:19;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:13
24-3-2023 15:42;24-3-2023 15:43;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:09
24-3-2023 15:47;24-3-2023 15:48;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:12
24-3-2023 15:51;24-3-2023 15:53;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:51
24-3-2023 15:55;24-3-2023 15:58;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:03:49
24-3-2023 16:06;24-3-2023 16:07;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:03
24-3-2023 16:08;24-3-2023 16:09;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:07
24-3-2023 16:10;24-3-2023 16:12;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:02:00
24-3-2023 16:12;24-3-2023 16:14;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:18
24-3-2023 16:14;24-3-2023 16:15;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:04
24-3-2023 16:17;24-3-2023 16:19;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:24
24-3-2023 16:27;24-3-2023 16:29;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:04
24-3-2023 16:33;24-3-2023 16:37;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:03:52
24-3-2023 16:40;24-3-2023 16:42;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:42
24-3-2023 16:43;24-3-2023 16:45;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:22
24-3-2023 16:46;24-3-2023 16:46;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:30
28-3-2023 09:18;28-3-2023 09:18;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:06
28-3-2023 09:18;28-3-2023 09:18;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:03
28-3-2023 09:18;28-3-2023 09:18;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:03
28-3-2023 09:18;28-3-2023 09:24;Assessing exams and giving marks;BPM course;University course;0 days 00:05:12
28-3-2023 09:24;28-3-2023 09:26;Assessing exams and giving marks;BPM course;University course;0 days 00:01:55
28-3-2023 09:26;28-3-2023 09:27;Communicating about events;ECIS conference 2023;Academic conference;0 days 00:00:57
28-3-2023 09:27;28-3-2023 09:28;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:01:15
28-3-2023 09:28;28-3-2023 09:28;Communicating about events;ECIS conference 2023;Academic conference;0 days 00:00:03
28-3-2023 09:28;28-3-2023 09:29;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:18
28-3-2023 09:29;28-3-2023 09:29;Communicating about events;ECIS conference 2023;Academic conference;0 days 00:00:03
28-3-2023 09:29;28-3-2023 09:29;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:18
28-3-2023 09:31;28-3-2023 09:31;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:03
28-3-2023 10:15;28-3-2023 10:16;Organizing practical aspects of events;AI Lab for Public Services;Organizational unit;0 days 00:00:03
28-3-2023 10:21;28-3-2023 10:26;Adapting the publication following responses from reviewers and fellow researchers;ECIS paper on RPA priorities;Research project;0 days 00:04:46
28-3-2023 10:26;28-3-2023 10:43;Adapting the publication following responses from reviewers and fellow researchers;ECIS paper on RPA priorities;Research project;0 days 00:17:39
28-3-2023 10:44;28-3-2023 11:01;Adapting the publication following responses from reviewers and fellow researchers;RCIS paper on recording techniques;Research project;0 days 00:16:44
28-3-2023 11:04;28-3-2023 11:04;Adapting the publication following responses from reviewers and fellow researchers;RCIS paper on recording techniques;Research project;0 days 00:00:09
28-3-2023 11:04;28-3-2023 11:07;Assessing exams and giving marks;BPM course;University course;0 days 00:03:21
28-3-2023 11:07;28-3-2023 11:07;Adapting the publication following responses from reviewers and fellow researchers;RCIS paper on recording techniques;Research project;0 days 00:00:06
28-3-2023 11:07;28-3-2023 11:11;Assessing exams and giving marks;BPM course;University course;0 days 00:03:13
28-3-2023 11:13;28-3-2023 11:14;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:01:12
28-3-2023 11:16;28-3-2023 11:17;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:01:30
28-3-2023 11:17;28-3-2023 11:19;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:01:54
28-3-2023 11:33;28-3-2023 11:34;Adapting the publication following responses from reviewers and fellow researchers;ECIS paper on RPA priorities;Research project;0 days 00:01:18
28-3-2023 11:39;28-3-2023 12:29;Adapting the publication following responses from reviewers and fellow researchers;ECIS paper on RPA priorities;Research project;0 days 00:50:41
28-3-2023 13:22;28-3-2023 13:22;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:00:03
28-3-2023 13:22;28-3-2023 13:22;Actively contributing to social debates;Future of Work Think paper;Research project;0 days 00:00:03
28-3-2023 13:23;28-3-2023 13:24;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:00:57
28-3-2023 13:25;28-3-2023 13:36;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:11:12
28-3-2023 13:38;28-3-2023 13:42;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:03:42
28-3-2023 13:43;28-3-2023 13:45;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:02:37
28-3-2023 13:48;28-3-2023 13:50;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:45
28-3-2023 13:52;28-3-2023 13:54;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:02:30
28-3-2023 13:55;28-3-2023 14:01;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:06:51
28-3-2023 14:02;28-3-2023 14:04;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:02:15
28-3-2023 14:05;28-3-2023 14:15;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:10:27
28-3-2023 14:25;28-3-2023 14:26;Discussing the structure, provision and progress of the assignment with students;***name31***;Master student;0 days 00:01:07
2-4-2023 11:06;2-4-2023 11:28;Conducting research;Active Window Tracking;Research project;0 days 00:22:10
2-4-2023 15:19;2-4-2023 15:38;Conducting research;Active Window Tracking;Research project;0 days 00:18:15
2-4-2023 15:39;2-4-2023 15:40;Conducting research;Active Window Tracking;Research project;0 days 00:01:09
2-4-2023 15:45;2-4-2023 15:59;Conducting research;Active Window Tracking;Research project;0 days 00:13:35
2-4-2023 15:59;2-4-2023 16:13;Conducting research;Active Window Tracking;Research project;0 days 00:13:42
2-4-2023 16:14;2-4-2023 16:31;Conducting research;Active Window Tracking;Research project;0 days 00:16:57
2-4-2023 16:31;2-4-2023 17:30;Conducting research;Active Window Tracking;Research project;0 days 00:58:47
2-4-2023 17:35;2-4-2023 18:00;Conducting research;Active Window Tracking;Research project;0 days 00:25:04
2-4-2023 18:00;2-4-2023 18:12;Conducting research;Active Window Tracking;Research project;0 days 00:11:33
